站名,文件夹ID,经度,纬度,省份/地区,详细位置,海拔(m),植被类型,冠层高度(m),优势种,气候类型,土壤类型,土壤质地,土壤湿度深度,土壤温度深度,土壤热通量深度,风速观测高度(m),温度观测高度(m)
禹城站,3984,116.5702°E,36.8290°N,山东省,禹城市,28,冬小麦夏玉米农田,1.5(冬小麦)/3.3(夏玉米),冬小麦、夏玉米,大陆季风气候,砂壤土,砂壤土为主,"5,10,20cm","5,10,20,30,50cm",-5cm(推测),1.5(冬小麦)/3.3(夏玉米),1.5(冬小麦)/3.3(夏玉米)
长岭稻田站,3985,123°28′13″E,44°35′48″N,吉林省,松嫩平原长岭,143,水稻,0.9-1.1,水稻,温带大陆性季风气候,苏打盐碱土,23%沙土+35%粉砂土+42%黏土,0-20cm,"-5,-10,-20cm",-5cm,2,2
宝天曼站,3986,111°56′07″E,33°29′59″N,河南省,宝天曼生态站,1410.7,天然栎林,20,天然栎林,暖温带与亚热带过渡区,典型暗棕壤,-,"10cm,20cm","5cm,20cm",-,"2(近地面), 22(冠层上方)","2(近地面), 22(冠层上方)"
帽儿山站,3987,127°40′070″E,45°25.002″N,黑龙江省,帽儿山千层沟,,温带落叶阔叶林,20,春榆、水曲柳、白桦、胡桃楸、五角槭、大青杨,温带大陆性季风气候,典型暗棕壤,-,-,-,-,36,36
小浪底站,3988,112°28′08″E,35°01′45″N,河南省,小浪底,410,栓皮栎人工林,11,栓皮栎(80%)、侧柏(8%)、刺槐(12%),暖温带季风气候,棕壤和石灰岩风化母质淋溶性褐土,-,-,-,-,36,36
哀牢山站,3989,-,-,云南省,哀牢山,,亚热带常绿阔叶林,-,腾冲栲、景东石栎、滇木荷、木果柯等,亚热带高原气候,-,-,CS616_L传感器,105T/107L传感器,南-北两侧两块土壤热通量板,"1.5,10.0,18.0,24.0,30.0,34.0","1.5,10.0,18.0,24.0,30.0,34.0"
儋州站,3990,-,-,海南省,儋州,,橡胶林,21,橡胶树,热带季风气候,-,-,-,-,-,38,38
金佛山站,3991,-,-,重庆市,金佛山国家级自然保护区,,亚热带常绿阔叶林,16.33,美丽新木姜子、雷公鹅耳枥、金山杜鹃等,亚热带湿润季风气候,石灰土为主，伴有少量棕黄壤,-,CS616,109-L,-5cm(HFP01),-,-
西双版纳站,3992,101°16′E,21°54′N,云南省,西双版纳热带雨林,592,热带季节雨林,35,绒毛番龙眼、千果榄仁等,热带季风气候,-,-,"5,20,40cm","0,5,10,15,20,40,60,80,100cm",5cm,-,-
西双版纳橡胶林站,3993,101°16′E,21°54′N,云南省,西双版纳,592,橡胶林,21,橡胶树,热带季风气候,-,-,-,105T/109-L,-,38,38
